Nyckeltal,Region,År,Invånare
"Invånare  totalt, antal",Hagfors,2015,11824
"Invånare  totalt, antal",Hagfors,2016,11917
"Invånare  totalt, antal",Hallsberg,2010,15275
"Invånare  totalt, antal",Hallsberg,2011,15248
"Invånare  totalt, antal",Hallsberg,2012,15283
"Invånare  totalt, antal",Hallsberg,2013,15267
"Invånare  totalt, antal",Hallsberg,2014,15315
"Invånare  totalt, antal",Hallsberg,2015,15509
"Invånare  totalt, antal",Hallsberg,2016,15649
"Invånare  totalt, antal",Hallstahammar,2010,15175
"Invånare  totalt, antal",Hallstahammar,2011,15224
"Invånare  totalt, antal",Hallstahammar,2012,15346
"Invånare  totalt, antal",Hallstahammar,2013,15524
"Invånare  totalt, antal",Hallstahammar,2014,15596
"Invånare  totalt, antal",Hallstahammar,2015,15645
"Invånare  totalt, antal",Hallstahammar,2016,15843
"Invånare  totalt, antal",Halmstad,2010,91800
"Invånare  totalt, antal",Halmstad,2011,92294
"Invånare  totalt, antal",Halmstad,2012,93231
"Invånare  totalt, antal",Halmstad,2013,94084
"Invånare  totalt, antal",Halmstad,2014,95532
"Invånare  totalt, antal",Halmstad,2015,96952
"Invånare  totalt, antal",Halmstad,2016,98538
"Invånare  totalt, antal",Hammarö,2010,14926
"Invånare  totalt, antal",Hammarö,2011,14943
"Invånare  totalt, antal",Hammarö,2012,15061
"Invånare  totalt, antal",Hammarö,2013,15136
"Invånare  totalt, antal",Hammarö,2014,15256
"Invånare  totalt, antal",Hammarö,2015,15420
"Invånare  totalt, antal",Hammarö,2016,15725
"Invånare  totalt, antal",Haninge,2010,77054
"Invånare  totalt, antal",Haninge,2011,78326
"Invånare  totalt, antal",Haninge,2012,79430
"Invånare  totalt, antal",Haninge,2013,80932
"Invånare  totalt, antal",Haninge,2014,82407
"Invånare  totalt, antal",Haninge,2015,83866
"Invånare  totalt, antal",Haninge,2016,85693
"Invånare  totalt, antal",Haparanda,2010,10059
"Invånare  totalt, antal",Haparanda,2011,10041
"Invånare  totalt, antal",Haparanda,2012,9904
"Invånare  totalt, antal",Haparanda,2013,9886
"Invånare  totalt, antal",Haparanda,2014,9776
"Invånare  totalt, antal",Haparanda,2015,9831
"Invånare  totalt, antal",Haparanda,2016,9864
"Invånare  totalt, antal",Heby,2010,13382
"Invånare  totalt, antal",Heby,2011,13381
"Invånare  totalt, antal",Heby,2012,13364
"Invånare  totalt, antal",Heby,2013,13450
"Invånare  totalt, antal",Heby,2014,13490
"Invånare  totalt, antal",Heby,2015,13594
"Invånare  totalt, antal",Heby,2016,13755
"Invånare  totalt, antal",Hedemora,2010,15164
"Invånare  totalt, antal",Hedemora,2011,15119
"Invånare  totalt, antal",Hedemora,2012,15064
"Invånare  totalt, antal",Hedemora,2013,15021
"Invånare  totalt, antal",Hedemora,2014,15085
"Invånare  totalt, antal",Hedemora,2015,15235
"Invånare  totalt, antal",Hedemora,2016,15461
"Invånare  totalt, antal",Helsingborg,2010,129177
"Invånare  totalt, antal",Helsingborg,2011,130626
"Invånare  totalt, antal",Helsingborg,2012,132011
"Invånare  totalt, antal",Helsingborg,2013,132989
"Invånare  totalt, antal",Helsingborg,2014,135344
"Invånare  totalt, antal",Helsingborg,2015,137909
"Invånare  totalt, antal",Helsingborg,2016,140547
"Invånare  totalt, antal",Herrljunga,2010,9314
"Invånare  totalt, antal",Herrljunga,2011,9284
"Invånare  totalt, antal",Herrljunga,2012,9282
"Invånare  totalt, antal",Herrljunga,2013,9274
"Invånare  totalt, antal",Herrljunga,2014,9376
"Invånare  totalt, antal",Herrljunga,2015,9349
"Invånare  totalt, antal",Herrljunga,2016,9486
"Invånare  totalt, antal",Hjo,2010,8841
"Invånare  totalt, antal",Hjo,2011,8790
"Invånare  totalt, antal",Hjo,2012,8832
"Invånare  totalt, antal",Hjo,2013,8805
"Invånare  totalt, antal",Hjo,2014,8885
"Invånare  totalt, antal",Hjo,2015,8983
"Invånare  totalt, antal",Hjo,2016,9048
"Invånare  totalt, antal",Hofors,2010,9741
"Invånare  totalt, antal",Hofors,2011,9578
"Invånare  totalt, antal",Hofors,2012,9521
"Invånare  totalt, antal",Hofors,2013,9511
"Invånare  totalt, antal",Hofors,2014,9431
"Invånare  totalt, antal",Hofors,2015,9435
